# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,PropGeom,0,BNRIVEPAOP,0,0,1,6.123233995736766036e-17, 0.000000000000000000e+00, -1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,48,25
# x,y,z,u,w
-3.951193829261132745e-02, 2.668810425531916719e-01, 6.529940205529766520e-03, 1.042553191489361764e+00, 1.751621091438194222e+00
-4.567736117012929919e-02, 2.668810425531917829e-01, 8.689937576500226038e-03, 1.042553191489361764e+00, 1.875680585274343448e+00
-4.929525396552313088e-02, 2.668810425531917274e-01, 1.032212893082912197e-02, 1.042553191489361764e+00, 1.951584046726686061e+00
-5.068596122618017341e-02, 2.668810425531917274e-01, 1.192551693538730986e-02, 1.042553191489361764e+00, 2.000000000000000000e+00
-4.956519492556692857e-02, 2.668810425531917274e-01, 1.353083845420963854e-02, 1.042553191489361764e+00, 2.048415953273313939e+00
-4.588906247630764046e-02, 2.668810425531917829e-01, 1.468597018748113610e-02, 1.042553191489361764e+00, 2.124319414725656774e+00
-3.932056202133801109e-02, 2.668810425531917274e-01, 1.493566534752892652e-02, 1.042553191489361764e+00, 2.248378908561805556e+00
-2.926804945521329845e-02, 2.668810425531917829e-01, 1.350360220725788270e-02, 1.042553191489361764e+00, 2.437090193319866760e+00
-1.573234823721465087e-02, 2.668810425531917274e-01, 1.029905804498689598e-02, 1.042553191489361764e+00, 2.694931530939263631e+00
7.148529236393010077e-05, 2.668810425531917274e-01, 5.734461905702448528e-03, 1.042553191489361764e+00, 3.000000000000000000e+00
1.571453916351368829e-02, 2.668810425531917274e-01, 6.927132032377012654e-04, 1.042553191489361764e+00, 3.305068469060736369e+00
2.884270654260771144e-02, 2.668810425531916719e-01, -3.814830554067220447e-03, 1.042553191489361764e+00, 3.562909806680132796e+00
3.840218178596588317e-02, 2.668810425531917274e-01, -7.234410273503861198e-03, 1.042553191489361764e+00, 3.751621091438194000e+00
4.466260152411551804e-02, 2.668810425531917274e-01, -9.539031982500670998e-03, 1.042553191489361764e+00, 3.875680585274343670e+00
4.848252166709498406e-02, 2.668810425531916719e-01, -1.097282878687307756e-02, 1.042553191489361764e+00, 3.951584046726686061e+00
5.068596424729892441e-02, 2.668810425531917274e-01, -1.192551764620351611e-02, 1.042553191489361764e+00, 4.000000000000000000e+00
5.071240994818681375e-02, 2.806494638297875044e-01, -1.181255586716911318e-02, 1.063829787234042534e+00, 0.000000000000000000e+00
4.836549107222994082e-02, 2.806494638297875044e-01, -1.160607956358998376e-02, 1.063829787234042534e+00, 4.841595327331393861e-02
4.440351447709207228e-02, 2.806494638297875044e-01, -1.105774104753986034e-02, 1.063829787234042534e+00, 1.243194147256564686e-01
3.793189937021159558e-02, 2.806494638297875044e-01, -1.012175564082791468e-02, 1.063829787234042534e+00, 2.483789085618058612e-01
2.809769740172466876e-02, 2.806494638297875044e-01, -8.608416885007992916e-03, 1.063829787234042534e+00, 4.370901933198670375e-01
1.468249318025855593e-02, 2.806494638297875044e-01, -6.372008174032750202e-03, 1.063829787234042534e+00, 6.949315309392636308e-01
-1.146419684260211944e-03, 2.806494638297875044e-01, -3.437914382887635473e-03, 1.063829787234042534e+00, 1.000000000000000000e+00
-1.688990221891916929e-02, 2.806494638297875044e-01, -4.674667585684613139e-05, 1.063829787234042534e+00, 1.305068469060736591e+00
-3.005190969397282530e-02, 2.806494638297876154e-01, 3.411572143988610833e-03, 1.063829787234042534e+00, 1.562909806680132796e+00
-3.952637940904197428e-02, 2.806494638297875044e-01, 6.442956219980172650e-03, 1.063829787234042534e+00, 1.751621091438194222e+00
-4.569664682710565529e-02, 2.806494638297875599e-01, 8.588904747558160843e-03, 1.063829787234042534e+00, 1.875680585274343448e+00
-4.931817017067764708e-02, 2.806494638297875044e-01, 1.021267692170001011e-02, 1.063829787234042534e+00, 1.951584046726686061e+00
-5.071240692549179585e-02, 2.806494638297875044e-01, 1.181255516308595509e-02, 1.063829787234042534e+00, 2.000000000000000000e+00
-4.959518063499641916e-02, 2.806494638297875044e-01, 1.341996267390326882e-02, 1.063829787234042534e+00, 2.048415953273313939e+00
-4.592163229179391931e-02, 2.806494638297875599e-01, 1.458292630227432662e-02, 1.063829787234042534e+00, 2.124319414725656774e+00
-3.935375344873554004e-02, 2.806494638297875044e-01, 1.484695146452592179e-02, 1.063829787234042534e+00, 2.248378908561805556e+00
-2.929814641268814468e-02, 2.806494638297876154e-01, 1.343708239343325075e-02, 1.063829787234042534e+00, 2.437090193319866760e+00
-1.575538667469978185e-02, 2.806494638297875044e-01, 1.026266806474432011e-02, 1.063829787234042534e+00, 2.694931530939263631e+00
5.856757280455098034e-05, 2.806494638297875044e-01, 5.733439913236795978e-03, 1.063829787234042534e+00, 3.000000000000000000e+00
1.571283560242460464e-02, 2.806494638297875044e-01, 7.268213180492682363e-04, 1.063829787234042534e+00, 3.305068469060736369e+00
2.885104583102127140e-02, 2.806494638297875044e-01, -3.751175743313475697e-03, 1.063829787234042534e+00, 3.562909806680132796e+00
3.841814810157188897e-02, 2.806494638297875044e-01, -7.149207386107080640e-03, 1.063829787234042534e+00, 3.751621091438194000e+00
4.468371120203044888e-02, 2.806494638297875599e-01, -9.439703096285247813e-03, 1.063829787234042534e+00, 3.875680585274343670e+00
4.850683295132842549e-02, 2.806494638297875044e-01, -1.086487371916849791e-02, 1.063829787234042534e+00, 3.951584046726686061e+00
5.071240994818681375e-02, 2.806494638297875044e-01, -1.181255586716911318e-02, 1.063829787234042534e+00, 4.000000000000000000e+00
5.073860370883546966e-02, 2.944178851063833924e-01, -1.169953540962570017e-02, 1.085106382978723305e+00, 0.000000000000000000e+00
4.839124636755827435e-02, 2.944178851063833924e-01, -1.149820101706540247e-02, 1.085106382978723305e+00, 4.841595327331393861e-02
4.442807306847101206e-02, 2.944178851063833924e-01, -1.095858901883006199e-02, 1.085106382978723305e+00, 1.243194147256564686e-01
